plot_name,rgb_exists,lidar_exists,lidar_type,hyperspectral_exists,chm_exists,annotation_exists,rgb_size_mb
2018_SJER_3_252000_4104000_image_628,True,True,.laz,False,True,True,0.47
2018_SJER_3_252000_4106000_image_234,True,True,.laz,False,True,True,0.46
2018_SJER_3_252000_4106000_image_326,True,True,.laz,False,True,True,0.53
2018_SJER_3_252000_4106000_image_66,True,True,.laz,False,True,True,0.46
2018_SJER_3_252000_4107000_image_372,True,True,.laz,False,True,True,0.47
2018_SJER_3_252000_4107000_image_477,True,True,.laz,False,True,True,0.51
2018_SJER_3_252000_4108000_image_517,True,True,.laz,False,True,True,0.52
2018_SJER_3_252000_4112000_image_451,True,True,.laz,False,True,True,0.53
2018_SJER_3_252000_4113000_image_323,True,True,.laz,False,True,True,0.46
2018_SJER_3_253000_4104000_image_637,True,True,.laz,False,True,True,0.49
2018_SJER_3_253000_4105000_image_303,True,True,.laz,False,True,True,0.5
2018_SJER_3_253000_4105000_image_72,True,True,.laz,False,True,True,0.48
2018_SJER_3_253000_4107000_image_532,True,True,.laz,False,True,True,0.49
2018_SJER_3_253000_4107000_image_637,True,True,.laz,False,True,True,0.53
2018_SJER_3_253000_4109000_image_573,True,True,.laz,False,True,True,0.52
2018_SJER_3_253000_4112000_image_581,True,True,.laz,False,True,True,0.53
2018_SJER_3_254000_4104000_image_163,True,True,.laz,False,True,True,0.48
2018_SJER_3_254000_4105000_image_703,True,True,.laz,False,True,True,0.47
2018_SJER_3_254000_4107000_image_670,True,True,.laz,False,True,True,0.5
2018_SJER_3_254000_4108000_image_188,True,True,.laz,False,True,True,0.51
2018_SJER_3_254000_4108000_image_700,True,True,.laz,False,True,True,0.48
2018_SJER_3_254000_4109000_image_337,True,True,.laz,False,True,True,0.48
2018_SJER_3_254000_4112000_image_145,True,True,.laz,False,True,True,0.54
2018_SJER_3_254000_4112000_image_235,True,True,.laz,False,True,False,0.55
2018_SJER_3_255000_4105000_image_142,True,True,.laz,False,True,True,0.51
2018_SJER_3_255000_4107000_image_298,True,True,.laz,False,True,True,0.51
2018_SJER_3_255000_4107000_image_369,True,True,.laz,False,True,True,0.46
2018_SJER_3_255000_4108000_image_224,True,True,.laz,False,True,True,0.49
2018_SJER_3_255000_4108000_image_256,True,True,.laz,False,True,True,0.51
2018_SJER_3_255000_4108000_image_267,True,True,.laz,False,True,True,0.51
2018_SJER_3_255000_4108000_image_93,True,True,.laz,False,True,True,0.51
2018_TEAK_3_314000_4099000_image_334,True,True,.laz,False,True,True,0.52
2018_TEAK_3_314000_4108000_image_86,True,True,.laz,False,True,True,0.47
2018_TEAK_3_315000_4096000_image_163,True,True,.laz,False,True,True,0.51
2018_TEAK_3_315000_4101000_image_600,True,True,.laz,False,True,True,0.53
2018_TEAK_3_315000_4103000_image_87,True,True,.laz,False,True,True,0.54
2018_TEAK_3_315000_4107000_image_237,True,True,.laz,False,True,True,0.55
2018_TEAK_3_316000_4091000_image_446,True,True,.laz,False,True,True,0.52
2018_TEAK_3_316000_4092000_image_620,True,True,.laz,False,True,True,0.54
2018_TEAK_3_316000_4093000_image_59,True,True,.laz,False,True,True,0.55
2018_TEAK_3_316000_4095000_image_397,True,True,.laz,False,True,True,0.56
2018_TEAK_3_316000_4097000_image_35,True,True,.laz,False,True,True,0.54
2018_TEAK_3_316000_4097000_image_493,True,True,.laz,False,True,True,0.55
2018_TEAK_3_317000_4105000_image_542,True,True,.laz,False,True,True,0.55
2018_TEAK_3_318000_4102000_image_483,True,True,.laz,False,True,True,0.54
2018_TEAK_3_318000_4103000_image_261,True,True,.laz,False,True,True,0.54
2018_TEAK_3_318000_4106000_image_165,True,True,.laz,False,True,True,0.54
2018_TEAK_3_318000_4107000_image_416,True,True,.laz,False,True,True,0.54
2018_TEAK_3_318000_4107000_image_718,True,True,.laz,False,True,True,0.53
2018_TEAK_3_319000_4095000_image_175,True,True,.laz,False,True,True,0.51
2018_TEAK_3_319000_4102000_image_281,True,True,.laz,False,True,True,0.52
2018_TEAK_3_320000_4093000_image_222,True,True,.laz,False,True,True,0.52
2018_TEAK_3_320000_4094000_image_587,True,True,.laz,False,True,True,0.53
2018_TEAK_3_320000_4095000_image_616,True,True,.laz,False,True,True,0.52
2018_TEAK_3_321000_4101000_image_689,True,True,.laz,False,True,True,0.53
2018_TEAK_3_322000_4096000_image_368,True,True,.laz,False,True,True,0.54
2018_TEAK_3_322000_4097000_image_216,True,True,.laz,False,True,True,0.54
2018_TEAK_3_322000_4102000_image_495,True,True,.laz,False,True,True,0.51
2018_TEAK_3_322000_4103000_image_50,True,True,.laz,False,True,True,0.53
2018_TEAK_3_322000_4107000_image_518,True,True,.laz,False,True,True,0.47
2018_TEAK_3_323000_4093000_image_159,True,True,.laz,False,True,True,0.53
2018_TEAK_3_323000_4098000_image_691,True,True,.laz,False,True,True,0.55
2018_TEAK_3_323000_4101000_image_415,True,True,.laz,False,True,True,0.55
2018_TEAK_3_324000_4095000_image_275,True,True,.laz,False,True,True,0.56
ABBY_002_2018,True,True,.laz,False,True,False,0.57
ABBY_002_2019,True,True,.laz,False,True,False,0.57
ABBY_003_2018,True,True,.laz,False,True,False,0.57
ABBY_004_2019,True,True,.laz,False,True,False,0.55
ABBY_006_2018,True,True,.laz,False,True,False,0.53
ABBY_006_2019,True,True,.laz,False,True,False,0.5
ABBY_008_2018,True,True,.laz,False,True,False,0.54
ABBY_009_2018,True,True,.laz,False,True,False,0.57
ABBY_009_2019,True,True,.laz,False,True,False,0.56
ABBY_010_2018,True,True,.laz,False,True,False,0.56
ABBY_011_2018,True,True,.laz,False,True,False,0.56
ABBY_013_2018,True,True,.laz,False,True,False,0.59
ABBY_014_2018,True,True,.laz,False,True,False,0.53
ABBY_014_2019,True,True,.laz,False,True,False,0.49
ABBY_015_2018,True,True,.laz,False,True,False,0.58
ABBY_015_2019,True,True,.laz,False,True,False,0.5
ABBY_016_2018,True,True,.laz,False,True,False,0.54
ABBY_016_2019,True,True,.laz,False,True,False,0.55
ABBY_019_2018,True,True,.laz,False,True,False,0.55
ABBY_019_2019,True,True,.laz,False,True,False,0.56
ABBY_020_2019,True,True,.laz,False,True,False,0.54
ABBY_021_2018,True,True,.laz,False,True,False,0.57
ABBY_021_2019,True,True,.laz,False,True,False,0.56
ABBY_022_2018,True,True,.laz,False,True,False,0.57
ABBY_022_2019,True,True,.laz,False,True,False,0.55
ABBY_023_2018,True,True,.laz,False,True,False,0.57
ABBY_024_2018,True,True,.laz,False,True,False,0.57
ABBY_024_2019,True,True,.laz,False,True,False,0.56
ABBY_025_2018,True,True,.laz,False,True,False,0.51
ABBY_025_2019,True,True,.laz,False,True,False,0.55
ABBY_026_2018,True,True,.laz,False,True,False,0.58
ABBY_027_2018,True,True,.laz,False,True,False,0.57
ABBY_027_2019,True,True,.laz,False,True,False,0.53
ABBY_028_2018,True,True,.laz,False,True,False,0.57
ABBY_029_2018,True,True,.laz,False,True,False,0.53
ABBY_029_2019,True,True,.laz,False,True,False,0.52
ABBY_063_2018,True,True,.laz,False,True,False,0.57
ABBY_063_2019,True,True,.laz,False,True,True,0.56
